SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-6-2019,Single Family Residential,10 Iris,Irvine,CA,92620,2450000,6,5.5,NW - Northwood,4345,8668,1999,26,564,210,Sold,,,http://www.redfin.com/CA/Irvine/10-Iris-92620/home/5770030,CRMLS,OC19138617,N,Y,33.7222201,-117.7466604
PAST SALE,September-17-2019,Single Family Residential,5322 Plum Tree,Irvine,CA,92612,800000,3,2,UP - University Park,1398,4800,1974,15,572,210,Sold,,,http://www.redfin.com/CA/Irvine/5322-Plum-Tree-92612/home/4710414,CRMLS,NP19192738,N,Y,33.6601972,-117.8020856
PAST SALE,September-16-2019,Single Family Residential,164 Coyote Brush,Irvine,CA,92618,1249880,4,3,PS - Portola Springs,2817,3900,2013,16,444,192,Sold,,,http://www.redfin.com/CA/Irvine/164-Coyote-Brush-92618/home/51684530,CRMLS,OC19187694,N,Y,33.6997978,-117.712206
PAST SALE,September-24-2019,Condo/Co-op,2243 Martin #208,Irvine,CA,92612,423000,1,1,AA - Airport Area,952,1,1993,8,444,475,Sold,,,http://www.redfin.com/CA/Irvine/2243-Martin-92612/unit-208/home/5554719,CRMLS,OC19140958,N,Y,33.6740072,-117.8592844
PAST SALE,September-20-2019,Single Family Residential,116 Homecoming,Irvine,CA,92602,2380000,5,5.5,OH - Orchard Hills,5142,6900,2015,12,463,279,Sold,,,http://www.redfin.com/CA/Irvine/116-Homecoming-92602/home/103690453,CRMLS,OC19167050,N,Y,33.7445323,-117.7596943
PAST SALE,September-18-2019,Condo/Co-op,54 Rosenblum #2,Irvine,CA,92602,838000,3,2.5,NK - Northpark,1685,,2002,14,497,159,Sold,,,http://www.redfin.com/CA/Irvine/54-Rosenblum-92602/unit-2/home/5918645,CRMLS,OC19171276,N,Y,33.7186477,-117.7753506
PAST SALE,September-18-2019,Condo/Co-op,67 Ashbrook #59,Irvine,CA,92604,580000,2,2,WB - Woodbridge,1105,,1978,14,525,414,Sold,,,http://www.redfin.com/CA/Irvine/67-Ashbrook-92604/unit-59/home/5505135,CRMLS,NP19153470,N,Y,33.6805855,-117.7819653
PAST SALE,September-27-2019,Single Family Residential,9 Christamon W,Irvine,CA,92620,1050000,4,2.5,NW - Northwood,2673,4950,1978,5,393,115,Sold,,,http://www.redfin.com/CA/Irvine/9-Christamon-W-92620/home/4785187,CRMLS,OC19193628,N,Y,33.716799,-117.7608158
PAST SALE,September-26-2019,Single Family Residential,59 Bellatrix,Irvine,CA,92618,2025000,5,8,699 - Not Defined,4686,7586,2019,6,432,297,Sold,,,http://www.redfin.com/CA/Irvine/59-Bellatrix-92618/home/161664361,CRMLS,CV19083778,N,Y,33.680007,-117.711026
PAST SALE,September-27-2019,Condo/Co-op,22 Cartier Aisle,Irvine,CA,92620,555000,2,2,NW - Northwood,1279,,1989,5,434,188,Sold,,,http://www.redfin.com/CA/Irvine/22-Cartier-Aisle-92620/home/5547003,CRMLS,IV19128755,N,Y,33.698165,-117.767939
PAST SALE,September-30-2019,Single Family Residential,65 Fanlight,Irvine,CA,92620,1405000,5,4,WD - Woodbury,3630,5122,2007,2,387,120,Sold,,,http://www.redfin.com/CA/Irvine/65-Fanlight-92620/home/5959067,CRMLS,NP19055307,N,Y,33.6936809,-117.7525244
PAST SALE,,Condo/Co-op,140 Damsel,Irvine,CA,92602,632000,2,2,,1110,,,,569,,,,,http://www.redfin.com/CA/Irvine/140-Damsel-92602/home/161408242,,,N,Y,33.709911,-117.7524728
PAST SALE,August-9-2019,Condo/Co-op,153 Falcon Rdg,Irvine,CA,92618,905000,4,3.25,PS - Portola Springs,1806,,2018,54,501,243,Sold,,,http://www.redfin.com/CA/Irvine/153-Falcon-Rdg-92618/home/166839595,CRMLS,OC19120558,N,Y,33.7004639,-117.7092786
PAST SALE,July-8-2019,Condo/Co-op,133 Calypso,Irvine,CA,92618,550000,2,1.5,WD - Woodbury,1136,1136,2009,86,484,294,Sold,,,http://www.redfin.com/CA/Irvine/133-Calypso-92618/home/40103273,CRMLS,PW19098562,N,Y,33.6950491,-117.7402056
PAST SALE,August-5-2019,Townhouse,41 Mission Bell,Irvine,CA,92620,720000,2,2,WD - Woodbury,1545,,2012,58,466,355,Sold,,,http://www.redfin.com/CA/Irvine/41-Mission-Bell-92620/home/51681914,CRMLS,OC19121304,N,Y,33.6967467,-117.7471122
PAST SALE,July-10-2019,Condo/Co-op,,Irvine,CA,92620,760000,3,2.5,WD - Woodbury,1987,,2005,84,382,300,Sold,,,http://www.redfin.com/CA/Irvine/Undisclosed-address-92620/home/7211749,CRMLS,OC19068785,N,Y,33.7006337,-117.7467039
PAST SALE,July-12-2019,Condo/Co-op,264 Streamwood,Irvine,CA,92620,278000,1,1,NW - Northwood,415,,1977,82,670,295,Sold,,,http://www.redfin.com/CA/Irvine/264-Streamwood-92620/home/5493698,CRMLS,OC19039964,N,Y,33.7134741,-117.7589968
PAST SALE,July-22-2019,Condo/Co-op,200 Springview,Irvine,CA,92620,283000,1,1,NW - Northwood,415,,1977,72,682,295,Sold,,,http://www.redfin.com/CA/Irvine/200-Springview-92620/home/5492933,CRMLS,OC19118372,N,Y,33.7137472,-117.7582446
PAST SALE,July-29-2019,Condo/Co-op,42 Pathway,Irvine,CA,92618,717500,3,3.5,PS - Portola Springs,2107,,2006,65,341,435,Sold,,,http://www.redfin.com/CA/Irvine/42-Pathway-92618/home/17466493,CRMLS,OC19120471,N,Y,33.694521,-117.71718
PAST SALE,August-5-2019,Single Family Residential,123 Doverwood,Irvine,CA,92620,1265000,4,4.5,STG - Stonegate,2523,3595,2013,58,501,110,Sold,,,http://www.redfin.com/CA/Irvine/123-Doverwood-92620/home/51682224,CRMLS,OC19123464,N,Y,33.7077954,-117.742354
PAST SALE,August-7-2019,Condo/Co-op,463 Deerfield Ave #143,Irvine,CA,92606,550000,2,1.5,WN - Walnut (Irvine),1134,,1985,56,485,300,Sold,,,http://www.redfin.com/CA/Irvine/463-Deerfield-Ave-92606/unit-143/home/5202038,CRMLS,OC19189061,N,Y,33.7007213,-117.8002436
PAST SALE,August-6-2019,Condo/Co-op,170 Full Moon,Irvine,CA,92618,658500,2,2,PS - Portola Springs,1872,,2012,57,352,324,Sold,,,http://www.redfin.com/CA/Irvine/170-Full-Moon-92618/home/51681294,CRMLS,OC19099228,N,Y,33.6973157,-117.7170401
PAST SALE,August-9-2019,Single Family Residential,5 Skipper,Irvine,CA,92604,740000,4,3,EC - El Camino Real,1890,2720,1976,54,392,230,Sold,,,http://www.redfin.com/CA/Irvine/5-Skipper-92604/home/4675726,CRMLS,OC19133226,N,Y,33.707352,-117.781835
PAST SALE,August-2-2019,Single Family Residential,8 Campanero E,Irvine,CA,92620,995000,5,3,NW - Northwood,2840,4185,1977,61,350,115,Sold,,,http://www.redfin.com/CA/Irvine/8-Campanero-E-92620/home/4784529,CRMLS,TR19122768,N,Y,33.7201711,-117.7577468
PAST SALE,August-15-2019,Single Family Residential,10 Crockett,Irvine,CA,92620,968000,4,2,NW - Northwood,1900,5250,1979,48,509,,Sold,,,http://www.redfin.com/CA/Irvine/10-Crockett-92620/home/4795861,CRMLS,OC19140587,N,Y,33.6997099,-117.7645266
PAST SALE,August-15-2019,Condo/Co-op,18 Ashbrook #83,Irvine,CA,92604,615000,2,2,WB - Woodbridge,1132,,1978,48,543,414,Sold,,,http://www.redfin.com/CA/Irvine/18-Ashbrook-92604/unit-83/home/5505221,CRMLS,OC19150599,N,Y,33.6805855,-117.7819653
PAST SALE,August-20-2019,Townhouse,81 Reunion,Irvine,CA,92603,775000,3,3,QH - Quail Hill,1959,,2004,43,396,265,Sold,,,http://www.redfin.com/CA/Irvine/81-Reunion-92603/home/5953605,CRMLS,PW19143146,N,Y,33.6500359,-117.7719062
PAST SALE,August-26-2019,Condo/Co-op,97 Island Coral,Irvine,CA,92620,899888,3,2.5,CV - Cypress Village,1704,,2015,37,528,135,Sold,,,http://www.redfin.com/CA/Irvine/97-Island-Coral-92620/home/112723654,CRMLS,OC19159041,N,Y,33.6845818,-117.7548149
PAST SALE,August-29-2019,Condo/Co-op,33 Tree Clover,Irvine,CA,92618,875000,3,2.5,PS - Portola Springs,2071,4320,2003,34,423,224,Sold,,,http://www.redfin.com/CA/Irvine/33-Tree-Clover-92618/home/22791367,CRMLS,PW19174743,N,Y,33.6972098,-117.7210493
PAST SALE,,Single Family Residential,21 Elderberry,Irvine,CA,92603,1164000,3,2.5,,2405,6632,1979,,484,,,,,http://www.redfin.com/CA/Irvine/21-Elderberry-92603/home/4743779,,,N,Y,33.6364586,-117.8048242
PAST SALE,September-6-2019,Single Family Residential,2640 Bristow Ln,Tustin,CA,92782,990000,3,2.5,89 - Tustin Ranch,2276,5100,1993,26,435,85,Sold,,,http://www.redfin.com/CA/Tustin/2640-Bristow-Ln-92782/home/4774299,CRMLS,PW19165237,N,Y,33.7608271,-117.7637936
PAST SALE,September-6-2019,Condo/Co-op,132 E Yale Loop #19,Irvine,CA,92604,1015000,5,3.5,WB - Woodbridge,2525,3000,1979,26,402,473,Sold,,,http://www.redfin.com/CA/Irvine/132-E-Yale-Loop-92604/unit-19/home/5544724,CRMLS,NP19196104,N,Y,33.6775236,-117.7857087
PAST SALE,September-11-2019,Condo/Co-op,1605 Terra Bella,Irvine,CA,92602,575000,2,2.5,NK - Northpark,1300,,2000,21,442,454,Sold,,,http://www.redfin.com/CA/Irvine/1605-Terra-Bella-92602/home/5841931,CRMLS,PW19158012,N,Y,33.7296772,-117.774224
PAST SALE,September-17-2019,Single Family Residential,141 Cloudbreak,Irvine,CA,92618,1280000,4,4,GP - Great Park,2559,6091,2015,15,500,215,Sold,,,http://www.redfin.com/CA/Irvine/141-Cloudbreak-92618/home/51682654,CRMLS,OC19119014,N,Y,33.7009433,-117.7250126
PAST SALE,September-24-2019,Single Family Residential,17 Del Carlo,Irvine,CA,92606,820500,3,3,WP - Westpark,1319,2925,1994,8,622,162,Sold,,,http://www.redfin.com/CA/Irvine/17-Del-Carlo-92606/home/4626072,CRMLS,OC19127953,N,Y,33.6904601,-117.8048793
PAST SALE,,Single Family Residential,,,CA,,699000,,,,,1561623,,,,,,,,http://www.redfin.com/CA/Unknown/Unknown-Unknown/home/112725329,,,N,Y,33.692986,-117.735404
PAST SALE,September-18-2019,Condo/Co-op,110 Renewal,Irvine,CA,92618,580000,2,2.5,PS - Portola Springs,1354,,2017,14,428,310,Sold,,,http://www.redfin.com/CA/Irvine/110-Renewal-92618/home/167402891,CRMLS,OC19179397,N,Y,33.69932,-117.731532
PAST SALE,September-21-2019,Condo/Co-op,63 Passage,Irvine,CA,92603,730000,3,3,QH - Quail Hill,1730,3000,2004,11,422,368,Sold,,,http://www.redfin.com/CA/Irvine/63-Passage-92603/home/5947791,CRMLS,OC19150874,N,Y,33.6508367,-117.7811199
PAST SALE,September-26-2019,Single Family Residential,112 Lovelace,Irvine,CA,92620,1497014,4,4.5,STG - Stonegate,2897,4574,2019,6,517,135,Sold,,,http://www.redfin.com/CA/Irvine/112-Lovelace-92620/home/165207193,CRMLS,EV19103857,N,Y,33.717473,-117.742783
PAST SALE,September-25-2019,Single Family Residential,34 Parma,Irvine,CA,92602,1067500,5,4,WI - West Irvine,3107,4250,2001,7,344,65,Sold,,,http://www.redfin.com/CA/Irvine/34-Parma-92602/home/5814355,CRMLS,IV19120482,N,Y,33.7336365,-117.7774596
PAST SALE,September-18-2019,Single Family Residential,24 Well Spg,Irvine,CA,92603,4850000,6,7.5,SH - Shady Canyon,7600,24611,2007,14,638,660,Sold,,,http://www.redfin.com/CA/Irvine/24-Well-Spg-92603/home/5929700,CRMLS,NP19070654,N,Y,33.6367743,-117.7904294
PAST SALE,August-7-2019,Single Family Residential,73 Derby,Irvine,CA,92602,1410000,4,4.5,OH - Orchard Hills,3054,3654,2018,56,462,297,Sold,,,http://www.redfin.com/CA/Irvine/73-Derby-92602/home/147965665,CRMLS,OC18261132,N,Y,33.751589,-117.761287
PAST SALE,July-30-2019,Townhouse,3 Ericson Aisle,Irvine,CA,92620,675000,3,3,NW - Northwood,1764,,1989,64,383,188,Sold,,,http://www.redfin.com/CA/Irvine/3-Ericson-Aisle-92620/home/5547242,CRMLS,OC19120612,N,Y,33.6984311,-117.7674638
PAST SALE,August-8-2019,Single Family Residential,12 Oak Tree Ln,Irvine,CA,92612,790000,3,2,UP - University Park,1560,3700,1969,55,506,244,Sold,,,http://www.redfin.com/CA/Irvine/12-Oak-Tree-Ln-92612/home/4705317,CRMLS,OC19134147,N,Y,33.6605244,-117.813203
PAST SALE,August-12-2019,Condo/Co-op,109 Stallion,Irvine,CA,92602,998880,3,2.5,OH - Orchard Hills,1928,,2016,51,518,196,Sold,,,http://www.redfin.com/CA/Irvine/109-Stallion-92602/home/112729679,CRMLS,OC19145563,N,Y,33.733699,-117.748403
PAST SALE,August-19-2019,Single Family Residential,10 Cornwallis,Irvine,CA,92620,872548,4,2.5,NW - Northwood,2470,5080,1979,44,353,,Sold,,,http://www.redfin.com/CA/Irvine/10-Cornwallis-92620/home/4794989,CRMLS,MC18294911,N,Y,33.7067731,-117.7604954
PAST SALE,August-20-2019,Single Family Residential,15 Winterbranch,Irvine,CA,92604,1050000,5,3,WB - Woodbridge,2300,4324,1979,43,457,97,Sold,,,http://www.redfin.com/CA/Irvine/15-Winterbranch-92604/home/4691052,CRMLS,OC19123921,N,Y,33.6770555,-117.790833
PAST SALE,August-16-2019,Single Family Residential,13842 Andele Way,Irvine,CA,92620,1112500,4,3,NW - Northwood,2500,6000,1970,47,445,,Sold,,,http://www.redfin.com/CA/Irvine/13842-Andele-Way-92620/home/4776642,CRMLS,NP19141105,N,Y,33.7112174,-117.7790015
PAST SALE,August-20-2019,Condo/Co-op,105 Trailblaze,Irvine,CA,92618,697000,2,2.5,PS - Portola Springs,1706,,2017,43,409,333,Sold,,,http://www.redfin.com/CA/IRVINE/105-TRAILBLAZE-92618/home/167401619,CRMLS,OC19186844,N,Y,33.6877,-117.7134
PAST SALE,August-19-2019,Condo/Co-op,98 Brindisi,Irvine,CA,92618,970000,3,2.5,LGA - Laguna Altura,1775,3000,2012,44,546,280,Sold,,,http://www.redfin.com/CA/Irvine/98-Brindisi-92603/home/58555257,CRMLS,OC19077022,N,Y,33.647922,-117.757604
PAST SALE,August-21-2019,Condo/Co-op,131 Talmadge,Irvine,CA,92602,699000,3,2,NK - Northpark,1817,1000,2003,42,385,374,Sold,,,http://www.redfin.com/CA/Irvine/131-Talmadge-92602/home/5889847,CRMLS,OC19180700,N,Y,33.7363626,-117.7693373
PAST SALE,August-21-2019,Single Family Residential,48 Sorrento,Irvine,CA,92614,1120000,4,3,WP - Westpark,2168,6800,1987,42,517,43,Sold,,,http://www.redfin.com/CA/Irvine/48-Sorrento-92614/home/4657588,CRMLS,OC19013416,N,Y,33.675576,-117.8236557
PAST SALE,August-21-2019,Single Family Residential,24 VIEW Ter,Irvine,CA,92603,3000000,4,4.5,TRG - Turtle Ridge,3661,11949,2004,42,819,478,Sold,,,http://www.redfin.com/CA/Irvine/24-View-Ter-92603/home/5927889,CRMLS,OC19161661,N,Y,33.6201955,-117.8199006
PAST SALE,August-23-2019,Single Family Residential,15091 Clemons Cir,Irvine,CA,92604,800000,4,3,EC - El Camino Real,1946,6435,1972,40,411,,Sold,,,http://www.redfin.com/CA/Irvine/15091-Clemons-Cir-92604/home/4682321,CRMLS,PW19181567,N,Y,33.6874238,-117.7787724
PAST SALE,September-6-2019,Condo/Co-op,104 Rotunda,Irvine,CA,92620,1170000,4,3,EASTW - Eastwood,2155,3000,2017,26,543,125,Sold,,,http://www.redfin.com/CA/Irvine/104-Rotunda-92620/home/167549270,CRMLS,OC19169437,N,Y,33.713176,-117.753416
PAST SALE,August-26-2019,Single Family Residential,57 Del Cambrea,Irvine,CA,92606,820000,3,2.5,WP - Westpark,1462,3465,1995,37,561,167,Sold,,,http://www.redfin.com/CA/Irvine/57-Del-Cambrea-92606/home/4625799,CRMLS,SB19141997,N,Y,33.6903437,-117.8025436
PAST SALE,August-27-2019,Single Family Residential,63 Gillman St,Irvine,CA,92612,865000,3,2,UP - University Park,1665,5000,1965,36,520,132,Sold,,,http://www.redfin.com/CA/Irvine/63-Gillman-St-92612/home/4697951,CRMLS,OC19172528,N,Y,33.6653552,-117.8222819
PAST SALE,August-26-2019,Single Family Residential,5442 Kenosha Ln,Irvine,CA,92603,1875000,5,4.5,TR - Turtle Rock,3468,6780,2011,37,541,82,Sold,,,http://www.redfin.com/CA/Irvine/5442-Kenosha-Ln-92603/home/4739726,CRMLS,OC19094532,N,Y,33.6370251,-117.8219613
PAST SALE,September-10-2019,Condo/Co-op,204 Milky Way,Irvine,CA,92618,814760,3,3,PS - Portola Springs,1596,,2018,22,511,246,Sold,,,http://www.redfin.com/CA/Irvine/204-Milky-Way-92618/home/167876424,CRMLS,OC19173622,N,Y,33.6979575,-117.7025701
PAST SALE,September-4-2019,Single Family Residential,10 Last Bloom,Irvine,CA,92602,1875888,5,5.5,OH - Orchard Hills,4083,5775,2017,28,459,279,Sold,,,http://www.redfin.com/CA/Irvine/10-Last-Bloom-92602/home/58551823,CRMLS,OC19086649,N,Y,33.742907,-117.762084
PAST SALE,September-6-2019,Single Family Residential,147 Cardinal,Irvine,CA,92618,1490000,4,4.5,GP - Great Park,3024,7408,2014,26,493,215,Sold,,,http://www.redfin.com/CA/Irvine/147-Cardinal-92618/home/51682999,CRMLS,OC19173539,N,Y,33.697984,-117.7233403
PAST SALE,September-11-2019,Single Family Residential,28 Teak Brg,Irvine,CA,92620,1190000,4,2.5,NW - Northwood,2514,3833,2006,21,473,145,Sold,,,http://www.redfin.com/CA/Irvine/28-Teak-Brg-92620/home/5931637,CRMLS,PW19196873,N,Y,33.7001374,-117.7628575
PAST SALE,September-17-2019,Single Family Residential,6271 Sierra Bravo Rd,Irvine,CA,92603,1295000,4,2.5,TR - Turtle Rock,2007,8512,1972,15,645,142,Sold,,,http://www.redfin.com/CA/Irvine/6271-Sierra-Bravo-Rd-92603/home/4741398,CRMLS,OC19188409,N,Y,33.6322839,-117.8085661
PAST SALE,September-26-2019,Single Family Residential,29 Shady Ln,Irvine,CA,92603,2080000,4,4.5,TRG - Turtle Ridge,3469,6985,2004,6,600,478,Sold,,,http://www.redfin.com/CA/Irvine/29-Shady-Ln-92603/home/5901430,CRMLS,OC18119852,N,Y,33.6264146,-117.8257745
PAST SALE,September-26-2019,Condo/Co-op,47 Serenity,Irvine,CA,92618,835000,3,2.5,WD - Woodbury,1735,,2010,6,481,134,Sold,,,http://www.redfin.com/CA/Irvine/47-Serenity-92618/home/40103079,CRMLS,OC19201027,N,Y,33.692663,-117.7425193
PAST SALE,September-17-2019,Single Family Residential,10 Deer Crk,Irvine,CA,92604,895000,3,2,EC - El Camino Real,1725,5850,1976,15,519,78,Sold,,,http://www.redfin.com/CA/Irvine/10-Deer-Crk-92604/home/4685144,CRMLS,PW19117034,N,Y,33.6904132,-117.7885973
PAST SALE,September-19-2019,Single Family Residential,17 Thornwood,Irvine,CA,92604,860000,3,2,WB - Woodbridge,1440,4416,1979,13,597,97,Sold,,,http://www.redfin.com/CA/Irvine/17-Thornwood-92604/home/4689214,CRMLS,OC19169182,N,Y,33.6898623,-117.795582
PAST SALE,September-19-2019,Condo/Co-op,34 Rocky Knl,Irvine,CA,92612,1059500,4,2.5,TR - Turtle Rock,2866,,1978,13,370,535,Sold,,,http://www.redfin.com/CA/Irvine/34-Rocky-Knl-92612/unit-27/home/5496955,CRMLS,OC19125968,N,Y,33.6565502,-117.8166993
PAST SALE,September-19-2019,Condo/Co-op,20 Thicket #71,Irvine,CA,92614,498750,2,1.5,WB - Woodbridge,1098,,1982,13,454,397,Sold,,,http://www.redfin.com/CA/Irvine/20-Thicket-92614/unit-71/home/5642187,CRMLS,OC19091116,N,Y,33.6705025,-117.8117573
PAST SALE,September-30-2019,Single Family Residential,54 Eclipse,Lake Forest,CA,92630,850000,3,2.5,BK - Baker Ranch,1759,3207,2019,2,483,212,Sold,,,http://www.redfin.com/CA/Lake-Forest/54-Eclipse-92630/home/167088182,CRMLS,OC19145203,N,Y,33.678179,-117.681797
