SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-16-2016,Condo/Co-op,3104 Ladrillo Aisle,Irvine,CA,92606,362000,1,1.0,WP - Westpark,806,,1998,1466,449,292,Sold,,,http://www.redfin.com/CA/Irvine/3104-Ladrillo-Aisle-92606/home/5703465,CRMLS,OC16031536,N,Y,33.6883444,-117.8111186
PAST SALE,June-26-2019,Single Family Residential,35 Sanctuary,Irvine,CA,92620,1305000,4,3.5,WD - Woodbury,2695,4980,2006,269,484,125,Sold,,,http://www.redfin.com/CA/Irvine/35-Sanctuary-92620/home/5959274,CRMLS,PW19111731,N,Y,33.6942012,-117.7567275
PAST SALE,June-19-2019,Single Family Residential,48 Waterspout,Irvine,CA,92620,1190000,4,2.75,WD - Woodbury,2197,4030,2005,276,542,125,Sold,,,http://www.redfin.com/CA/Irvine/48-Waterspout-92620/home/5959225,CRMLS,OC19105388,N,Y,33.6936538,-117.7554563
PAST SALE,,Single Family Residential,5 Santa Luzia Aisle,Irvine,CA,92606,257000,4,2.5,,2013,3150,,,128,,,,,http://www.redfin.com/CA/Irvine/5-Santa-Luzia-Aisle-92606/home/4627706,,,N,Y,33.6891389,-117.8095123
PAST SALE,January-14-2011,Condo/Co-op,187 SANCTUARY,Irvine,CA,92620,700000,4,2.5,WD - Woodbury,2065,,2004,3354,339,203,Sold,,,http://www.redfin.com/CA/Irvine/187-Sanctuary-92620/home/7216846,CRMLS,S621359,N,Y,33.7009206,-117.750042
PAST SALE,June-11-2018,Condo/Co-op,70 Cherry Tree,Irvine,CA,92620,988000,3,2.5,CV - Cypress Village,1948,2021,2014,649,507,135,Sold,,,http://www.redfin.com/CA/Irvine/70-Cherry-Tree-92620/home/58556664,CRMLS,OC18079019,N,Y,33.6898934,-117.7573345
PAST SALE,,Condo/Co-op,112 Evening Sun,Irvine,CA,92620,750000,3,3.5,,1873,,,,400,,,,,http://www.redfin.com/CA/Irvine/112-Evening-Sun-92620/home/105491081,,,N,Y,33.680422,-117.756278
PAST SALE,,Single Family Residential,12 SANTA LUZIA AISLE,Irvine,CA,92714,,4,2.5,,1867,3276,,,,,Sold,,,http://www.redfin.com/CA/Irvine/12-Santa-Luzia-Aisle-92606/home/4627689,CRMLS,,N,Y,33.6887927,-117.8090314
PAST SALE,April-8-2019,Single Family Residential,54 Rising Sun,Irvine,CA,92620,955000,3,2.5,WD - Woodbury,1785,3666,2005,348,535,125,Sold,,,http://www.redfin.com/CA/Irvine/54-Rising-Sun-92620/home/5958971,CRMLS,PW19052456,N,Y,33.6943207,-117.7553647
PAST SALE,August-22-2018,Single Family Residential,25 Cassidy,Irvine,CA,92620,1245000,4,4.0,WD - Woodbury,2708,4455,2010,577,460,120,Sold,,,http://www.redfin.com/CA/Irvine/25-Cassidy-92620/home/28931878,CRMLS,OC18143556,N,Y,33.7003561,-117.7561079
PAST SALE,,Condo/Co-op,608 Marinella Aisle,Irvine,CA,92606,155000,2,2.0,,1037,,,,149,,,,,http://www.redfin.com/CA/Irvine/608-Marinella-Aisle-92606/home/5703768,,,N,Y,33.6899528,-117.811947
PAST SALE,October-6-2017,Condo/Co-op,179 Rhapsody,Irvine,CA,92620,800000,3,2.5,WD - Woodbury,1691,,2005,897,473,230,Sold,,,http://www.redfin.com/CA/Irvine/179-Rhapsody-92620/home/7219039,CRMLS,OC17189572,N,Y,33.7015927,-117.7514045
PAST SALE,June-19-2013,Condo/Co-op,54 Chantilly,Irvine,CA,92620,590000,3,2.25,WD - Woodbury,1300,,2005,2467,454,203,Sold,,,http://www.redfin.com/CA/Irvine/54-Chantilly-92620/home/7210082,CRMLS,PW13075610,N,Y,33.7021379,-117.750114
PAST SALE,March-14-2018,Condo/Co-op,64 Concierto,Irvine,CA,92620,678000,2,2.0,WD - Woodbury,1570,1570,2005,738,432,338,Sold,,,http://www.redfin.com/CA/Irvine/64-Concierto-92620/home/7210799,CRMLS,OC18031224,N,Y,33.6972849,-117.7546997
PAST SALE,December-4-2017,Condo/Co-op,54 Vintage,Irvine,CA,92620,672000,3,3.0,WD - Woodbury,1614,1700,2005,838,416,301,Sold,,,http://www.redfin.com/CA/Irvine/54-Vintage-92620/home/7214632,CRMLS,OC17217500,N,Y,33.6977216,-117.7554976
PAST SALE,,Single Family Residential,22 Santa Victoria Aisle,Irvine,CA,92606,425000,4,2.5,,1867,3150,,,228,,,,,http://www.redfin.com/CA/Irvine/22-Santa-Victoria-Aisle-92606/home/4627874,,,N,Y,33.6882358,-117.8100393
PAST SALE,June-12-2017,Condo/Co-op,50 Tulip,Irvine,CA,92620,810000,3,3.5,CV - Cypress Village,1873,,2014,1013,432,346,Sold,,,http://www.redfin.com/CA/Irvine/50-Tulip-92620/home/112722243,CRMLS,PW17069969,N,Y,33.6812169,-117.7586488
PAST SALE,January-12-2015,Condo/Co-op,52 Vintage,Irvine,CA,92620,549900,3,3.0,WD - Woodbury,1614,,2005,1895,341,290,Sold,,,http://www.redfin.com/CA/Irvine/52-Vintage-92620/unit-106/home/7214630,CRMLS,NP14201943,N,Y,33.6976705,-117.7555381
PAST SALE,,Single Family Residential,9 Santa Catalina Aisle,Irvine,CA,92606,238500,4,2.5,,1867,3168,,,128,,,,,http://www.redfin.com/CA/Irvine/9-Santa-Catalina-Aisle-92606/home/4627812,,,N,Y,33.6887045,-117.8080697
